date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,9604.05078125,10085.6279296875,9598.09765625,10085.6279296875,10085.6279296875,16631520648
2019-08-01,10077.4423828125,10446.919921875,9922.01953125,10399.6689453125,10399.6689453125,17165337858
2019-08-02,10402.04296875,10657.953125,10371.013671875,10518.1748046875,10518.1748046875,17489094082
2019-08-03,10519.2783203125,10946.78125,10503.5048828125,10821.7265625,10821.7265625,15352685061
2019-08-04,10821.6328125,11009.20703125,10620.2783203125,10970.1845703125,10970.1845703125,16530894787
2019-08-05,10960.7353515625,11895.091796875,10960.7353515625,11805.6533203125,11805.6533203125,23875988832
2019-08-06,11811.544921875,12273.8212890625,11290.7314453125,11478.1689453125,11478.1689453125,23635107660
2019-08-07,11476.193359375,12036.990234375,11433.701171875,11941.96875,11941.96875,22194988641
2019-08-08,11954.0400390625,11979.419921875,11556.16796875,11966.4072265625,11966.4072265625,19481591730
2019-08-09,11953.4697265625,11970.4580078125,11709.7451171875,11862.9365234375,11862.9365234375,18339989960
2019-08-10,11861.556640625,11915.6552734375,11323.8984375,11354.0244140625,11354.0244140625,18125355447
2019-08-11,11349.740234375,11523.5791015625,11248.294921875,11523.5791015625,11523.5791015625,15774371518
2019-08-12,11528.189453125,11528.189453125,11320.951171875,11382.6162109375,11382.6162109375,13647198229
2019-08-13,11385.052734375,11420.0498046875,10830.3271484375,10895.830078125,10895.830078125,16681503537
2019-08-14,10889.4873046875,10889.556640625,10028.1357421875,10051.7041015625,10051.7041015625,19990838300
2019-08-15,10038.421875,10437.4111328125,9675.31640625,10311.5458984375,10311.5458984375,22899115082
2019-08-16,10319.419921875,10524.349609375,9855.478515625,10374.3388671875,10374.3388671875,20228207096
2019-08-17,10358.72265625,10452.625,10086.6982421875,10231.744140625,10231.744140625,13778035685
2019-08-18,10233.005859375,10487.0703125,10119.0947265625,10345.810546875,10345.810546875,12999813869
2019-08-19,10350.283203125,10916.0537109375,10313.2041015625,10916.0537109375,10916.0537109375,16038264603
2019-08-20,10916.3466796875,10947.0419921875,10618.9609375,10763.232421875,10763.232421875,15053082175
2019-08-21,10764.572265625,10798.7294921875,9962.7216796875,10138.0498046875,10138.0498046875,19473084768
2019-08-22,10142.521484375,10232.99609375,9831.462890625,10131.0556640625,10131.0556640625,17097508856
2019-08-23,10136.3095703125,10442.443359375,10078.1923828125,10407.96484375,10407.96484375,15627023886
2019-08-24,10407.64453125,10418.0205078125,9982.296875,10159.9609375,10159.9609375,15451030650
2019-08-25,10160.7373046875,10304.6220703125,10008.7890625,10138.517578125,10138.517578125,14153856610
2019-08-26,10126.2998046875,10512.328125,10126.2998046875,10370.8203125,10370.8203125,18438654080
2019-08-27,10372.826171875,10381.328125,10087.30078125,10185.5,10185.5,14762609503
2019-08-28,10203.4267578125,10279.3662109375,9716.65625,9754.4228515625,9754.4228515625,17603790323
2019-08-29,9756.7861328125,9756.7861328125,9421.6298828125,9510.2001953125,9510.2001953125,17045878501
2019-08-30,9514.8447265625,9656.1240234375,9428.302734375,9598.173828125,9598.173828125,13595263986
2019-08-31,9597.5390625,9673.220703125,9531.7998046875,9630.6640625,9630.6640625,11454806419
2019-09-01,9630.5927734375,9796.755859375,9582.9443359375,9757.970703125,9757.970703125,11445355859
2019-09-02,9757.4736328125,10396.591796875,9730.650390625,10346.7607421875,10346.7607421875,17248102294
2019-09-03,10345.7255859375,10736.1044921875,10308.5478515625,10623.5400390625,10623.5400390625,19384917989
2019-09-04,10621.1806640625,10762.64453125,10434.7099609375,10594.4931640625,10594.4931640625,16742664769
2019-09-05,10588.18359375,10627.26953125,10516.41796875,10575.533203125,10575.533203125,14551239508
2019-09-06,10578.1982421875,10898.76171875,10292.2998046875,10353.302734375,10353.302734375,19536574783
2019-09-07,10353.931640625,10558.673828125,10348.9189453125,10517.2548828125,10517.2548828125,15307366476
2019-09-08,10518.1142578125,10595.6376953125,10409.0908203125,10441.2763671875,10441.2763671875,13670567493
2019-09-09,10443.228515625,10450.3115234375,10144.9296875,10334.974609375,10334.974609375,17595943368
2019-09-10,10336.408203125,10394.353515625,10020.5732421875,10115.9755859375,10115.9755859375,14906809639
2019-09-11,10123.03515625,10215.9482421875,9980.7763671875,10178.3720703125,10178.3720703125,15428063426
2019-09-12,10176.8193359375,10442.25390625,10099.2421875,10410.126953125,10410.126953125,15323563925
2019-09-13,10415.3623046875,10441.4892578125,10226.5966796875,10360.546875,10360.546875,14109864675
2019-09-14,10345.4033203125,10422.1337890625,10291.6943359375,10358.048828125,10358.048828125,13468713124
2019-09-15,10356.4658203125,10387.03515625,10313.0927734375,10347.712890625,10347.712890625,12043433567
2019-09-16,10347.22265625,10386.8671875,10189.744140625,10276.7939453125,10276.7939453125,15160167779
2019-09-17,10281.513671875,10296.771484375,10199.7392578125,10241.2724609375,10241.2724609375,15304603363
2019-09-18,10247.7958984375,10275.9287109375,10191.4697265625,10198.248046875,10198.248046875,16169268880
2019-09-19,10200.49609375,10295.6689453125,9851.6923828125,10266.4150390625,10266.4150390625,19937691247
2019-09-20,10266.318359375,10285.8720703125,10132.1865234375,10181.6416015625,10181.6416015625,14734189639
2019-09-21,10183.6484375,10188.09765625,10000.7080078125,10019.716796875,10019.716796875,13425266806
2019-09-22,10024.115234375,10074.4443359375,9922.533203125,10070.392578125,10070.392578125,13199651698
2019-09-23,10067.962890625,10074.23828125,9727.1435546875,9729.32421875,9729.32421875,15144925408
2019-09-24,9729.3212890625,9804.3173828125,8370.8017578125,8620.56640625,8620.56640625,25002886689
2019-09-25,8603.4287109375,8744.828125,8325.396484375,8486.9931640625,8486.9931640625,21744728353
2019-09-26,8487.669921875,8515.685546875,7895.62939453125,8118.9677734375,8118.9677734375,19258205289
2019-09-27,8113.10107421875,8271.5205078125,7965.9228515625,8251.845703125,8251.845703125,16408941156
2019-09-28,8251.2734375,8285.6171875,8125.431640625,8245.9150390625,8245.9150390625,14141152736
2019-09-29,8246.037109375,8261.70703125,7990.4970703125,8104.185546875,8104.185546875,13034629109
2019-09-30,8104.2265625,8314.2314453125,7830.7587890625,8293.8681640625,8293.8681640625,17115474183
2019-10-01,8299.720703125,8497.6923828125,8232.6796875,8343.2763671875,8343.2763671875,15305343413
2019-10-02,8344.212890625,8393.0419921875,8227.6953125,8393.0419921875,8393.0419921875,13125712443
2019-10-03,8390.7744140625,8414.2275390625,8146.43701171875,8259.9921875,8259.9921875,13668823409
2019-10-04,8259.494140625,8260.0556640625,8151.23681640625,8205.939453125,8205.939453125,13139456229
2019-10-05,8210.1494140625,8215.5263671875,8071.12060546875,8151.50048828125,8151.50048828125,12200497197
2019-10-06,8149.876953125,8161.41015625,7958.8505859375,7988.15576171875,7988.15576171875,13160830305
2019-10-07,7989.12060546875,8308.4501953125,7905.76611328125,8245.623046875,8245.623046875,18009742607
2019-10-08,8246.849609375,8332.71484375,8185.76318359375,8228.783203125,8228.783203125,15592264032
2019-10-09,8229.8408203125,8627.7060546875,8169.298828125,8595.740234375,8595.740234375,19384942333
2019-10-10,8585.2802734375,8625.2724609375,8471.93359375,8586.4736328125,8586.4736328125,17618660671
2019-10-11,8585.2626953125,8721.7802734375,8316.181640625,8321.7568359375,8321.7568359375,19604381101
2019-10-12,8315.6650390625,8415.2421875,8313.3408203125,8336.5556640625,8336.5556640625,14532641605
2019-10-13,8336.90234375,8470.98828125,8276.6123046875,8321.005859375,8321.005859375,13808286059
2019-10-14,8320.83203125,8390.208984375,8284.130859375,8374.6865234375,8374.6865234375,15151387859
2019-10-15,8373.4580078125,8410.71484375,8182.70654296875,8205.369140625,8205.369140625,15220412632
2019-10-16,8204.6748046875,8216.8125,7985.08984375,8047.52685546875,8047.52685546875,16071646996
2019-10-17,8047.8125,8134.83154296875,8000.94287109375,8103.9111328125,8103.9111328125,14313052244
2019-10-18,8100.93359375,8138.41357421875,7902.1640625,7973.20751953125,7973.20751953125,15651592610
2019-10-19,7973.8037109375,8082.62939453125,7944.77685546875,7988.560546875,7988.560546875,13797825640
2019-10-20,7997.80712890625,8281.818359375,7949.439453125,8222.078125,8222.078125,15504249442
2019-10-21,8225.115234375,8296.6943359375,8196.416015625,8243.720703125,8243.720703125,15868748866
2019-10-22,8243.40234375,8296.6513671875,8074.462890625,8078.203125,8078.203125,16803377857
2019-10-23,8076.228515625,8092.99951171875,7469.32275390625,7514.671875,7514.671875,21942878958
2019-10-24,7509.72802734375,7532.86767578125,7446.98876953125,7493.48876953125,7493.48876953125,16268708849
